lagsnavn,orgnr,kommune,fylke,adresse,postnummer,poststed,nettstad,kjelde_type,kjelde_url,henta_dato
A L M TRANSPORT LIMITED,993126314,,,"1 Warwick Row, Cefalon Place",,SW1E 5ER London,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/993126314,2026-04-27
A&L ALL ABOUT MEETINGS AB,931207830,,,"c/o United Spaces, Götgatan 22A",,SE-118 46 STOCKHOLM,https://www.allaboutmeetings.se,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/931207830,2026-04-27
ARAMARK U.S. OFFSHORE SERVICES LLC,915513158,,,1101 Market Street,,"PHILADELPHIA, PA 19107",,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/915513158,2026-04-27
"ARCADIS U.S., INC.",929924657,,,"630 Plaza Drive, Suite 200, Highlands Ranch",,COLORADO 80129,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/929924657,2026-04-27
"ARCADIS U.S., INC.",930125946,,,"630 Plaza Drive, Suite 200, Highlands Ranch",,COLORADO 80129,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/930125946,2026-04-27
BECTON DICKINSON U.K. LIMITED,933247813,,,"1030 Eskdale Road,, Winnersh Triangle, Wokingham,",,BERKSHIRE RG41 5TS,https://www.bd.com/en-uk/,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/933247813,2026-04-27
BERG OCH GRUNDSÄKRING L SVENSSON AB,988353701,,,Rattgatan 1,,442 40 KUNGÄLV,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/988353701,2026-04-27
BERG OCH GRUNDSÄKRING L SVENSSON AB,988353639,,,Hogenäs Industriområde 5,,456 91 KUNGSHAVN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/988353639,2026-04-27
BILD-BULD,989166239,,,ul Zaganska 27/2,,59-950 RUSZOW,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/989166239,2026-04-27
BILD-BULD RAFAL GARDZIEJ,989305115,,,ul Zaganska 27/2,,59-950 RUSZOW,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/989305115,2026-04-27
BLOOMBERG L P,983434339,,,499 Park Avenue New York,,10022 New York,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/983434339,2026-04-27
BMS BULGARIA OOD,992532327,,,Gruncharska str 26,,RAZGAD 7200,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/992532327,2026-04-27
BMS BULGARIA OOD,992509236,,,JK OREL block 22 ent 6 ap 19,,BG-7200 RAZGRAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/992509236,2026-04-27
BOSTON CONSULTING GROUP CANADA ULC,934468139,,,"Suite 1700,, Park Place 666 Burrard Street,",,CA-VANCOUVER V6C 2X8,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/934468139,2026-04-27
BOSTON CONSULTING GROUP CANADA ULC,934543955,,,"Suite 1700,, Park Place 666 Burrard Street,",,CA-VANVOUVER BC V6C 2X8,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/934543955,2026-04-27
BOTSWANA MEAT COMMISSION (U.K.) HOLDINGS LIMITED,933698297,,,"6 Stratford Place,",,LONDON W1C 1AY ENGLAND,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/933698297,2026-04-27
